S.NO.,Date,Day,Arpit (Tech Lead + Backend),Kalash (Backend Developer),Frontend Developer,UI/UX Designer,Graphics Designer,Shop Developer,Remarks,Status
1,,Day 1,Kickoff meeting — set up project board + branches + assign tasks to all 6 people,Study existing code — list all missing models (Order / Newsletter / Product),Audit entire website — visit every page and note what is broken or missing,Open Figma — audit existing screens and start building Design System,Review Image Requirements doc — identify all 13 missing images,Study Cart code — map full shop flow and write Shop Flow Document,,
2,,Day 2,Write API contracts for Orders and Newsletter + confirm cart flow with SH,Build Order Model + Newsletter Model — push to feature/be-orders branch,Fix Dashboard plan display (hardcoded FREE) + fix OAuth buttons (no click handlers),Complete Design System (colors / fonts / buttons) + start Shop page wireframe,Create 6 Shop product placeholder images — URGENT for Shop Developer,Fix fake UPI input in Step 3 + remove hardcoded price in Step 4,,
3,,Day 3,Set up Google OAuth on backend + review and merge frontend fixes PR,Build Order Routes + Newsletter Routes — test all in Postman,Fix /shop wrong route + fix Contact Us fake success + unblock Games page (remove comingSoonActive),Complete full Shop page design + start Games page design,Create 5 Games page cover placeholder images,Build CartContext (shared state across all steps) + rebuild Plan Selection screen,,
4,,Day 4,Build Product model + Product routes + register in index.js,Wire payment to order creation — when payment succeeds create order + update user membership,Build Search Results page (/search) + update navbar search to navigate to /search,Complete Games page design + start Search Results page + start Artist Profile page,Create 2 OG/social images (1200x630px) + create favicon and PWA icons,Wire Steps 3 and 4 to real Razorpay API — actual payment now works,,
5,,Day 5,Week 1 review with all 6 people + write summary for owner + build Global Search endpoint,Fix Contact Us path mismatch + add text search to comics route + add text search to characters route,Update Search page to use global endpoint + connect Track Orders to real order data,Complete Search Results page design + complete Artist Profile design — hand both off to developers,Create 4 Internship Why Intern card images + 3 testimonial avatar photos,Build full Shop page UI using Figma design handed off by UX Designer,,
6,,Day 6,Merge search and payment branches + build Admin Orders Management backend + review Razorpay integration,Connect Shop to real product API + build Game model + Game routes + seed sample data,Full rebuild of Games page using Figma design — game cards + genre filter + game detail page,Complete Admin Orders Management design + design Order Confirmation page + design Games Detail page,Create 8 Founder Profile grid images (Entrepreneurial / Leader / Inspiration sections),Connect Shop to real products API + build Order Confirmation page (shown after payment),,
7,,Day 7,Set up staging deployment + review Razorpay signature verification carefully + test newsletter in Postman,Build Artist model + Artist routes + add 3-4 sample artist documents + test in Postman,Connect Order History to real API + wire newsletter signup on Home page,Complete Product Detail page design + finalize Artist Profile design — hand both off today,Confirm all 7 About Us team photos exist + create 404 error page illustration,Build Product Detail page (/shop/:id) — full info + add to cart + related products,,
8,,Day 8,Merge artist routes + review FE search and orders pages + wire Admin Orders panel + confirm Google OAuth end-to-end,Final small missing routes + security audit on all endpoints + push to feature/be-cleanup,Build Artist Profile page (/artist/:id) + polish Search page with UX feedback,Design consistency audit — fix anything that doesnt match Design System + prepare dev handoff notes,Create default user avatar + check Research page avatars + final quality check all assets,Cart saves state on browser refresh + make checkout layout work on mobile phones,,
9,,Day 9,Full integration test on staging — test every user journey end-to-end + file bugs for FE / BE / SH,Fix bugs from integration test + update .env.example + clean up console.logs + open final PR,Fix all bugs from integration test + fix duplicate /contact-us route in App.jsx + open final PR,Record Figma video walkthrough of all screens + organise Figma into sections + archive old screens,Final delivery checklist — confirm all images at correct paths + commit to feature/assets branch + open PR,Test full Razorpay payment in test mode + fix bugs + add Continue Shopping button on confirmation page,,
10,,Day 10,Merge all PRs + production deploy + ensure no test keys in production + write Sprint Summary Report,Confirm all routes live on production + write Backend Handoff Doc (models / routes / env variables),Smoke test every route on production URL + write Frontend Handoff Note,Share complete Frontend Dev Starter Pack with next sprint team,Confirm all assets merged and live on production + write Graphics Handoff Note,Test checkout on live production + confirm real orders saved in database + write Shop Handoff Note,,
